Homme;Femme;Population totale
Belgique;180609;221043;10666866
Bulgarie;118139;146324;7640238
République tchèque;174858;217682;10381130
Danemark;96903;133804;5475791
Allemagne (réunifiée à partir de 1991);1128954;1116184;82217837
Estonie;26102;42066;1340935
Irlande;81723;96795;4401335
Grèce;318205;319418;11213785
Espagne;818747;962272;45283259
France;969564;1194974;64007193
Italie;857341;1156515;59619290
Chypre;13093;12595;789269
Lettonie;45475;82285;2270894
Lituanie;82107;122660;3366357
Luxembourg;1558;1453;483799
Hongrie;173931;239784;10045401
Malte;3988;5484;410290
Pays-Bas;291177;311109;16405399
Autriche;133020;151771;8318592
Pologne;918787;1247193;38115641
Portugal;175177;201740;10617575
Roumanie;461253;595369;21528627
Slovénie;48322;67123;2010269
Slovaquie;91120;138357;5400998
Finlande;141757;167891;5300484
Suède;161570;245309;9182927
Royaume-Uni;996455;1333039;61191951
Islande;5915;10716;315459
Liechtenstein;536;264;35356
Norvège;83297;129375;4737171
Suisse;113873;110596;7593494
Croatie;65107;78303;4436401
Turquie;1441722;1090900;70586256
