OEIL;BRAN;OPER;NAGE;FOIE;TUDI;REINS;ECAI;MUSC;Poids;Long;Lng;Tete;Larg;Muse;DOeil;AQUA
1;10;65;65;107;7;76;16;142;1;132;214;197;54;47;18;11;A1
2;9;33;39;67;29;113;10;99;2;122;220;198;49;44;16;10;A1
3;6;47;71;95;11;192;9;121;2;129;220;198;49;45;17;11;A1
4;7;70;40;66;8;310;10;90;2;133;225;199;52;48;15;11;A1
5;8;59;67;100;14;289;4;244;1;57;168;149;37;37;9;9;A1
6;8;46;55;112;17;115;8;153;1;59;178;160;38;35;11;9;A1
7;7;47;36;87;16;100;4;162;1;59;176;156;40;36;11;9;A1
8;11;79;46;95;20;106;10;141;4;47;176;165;39;31;10;8;A1
9;13;80;64;155;42;192;9;169;3;72;182;164;40;39;12;10;A2
10;21;50;115;146;49;229;9;233;5;79;200;179;45;38;12;9;A2
11;12;91;84;138;22;590;9;220;2;80;185;163;43;41;12;11;A2
12;14;20;76;125;21;309;9;617;5;72;175;158;40;39;13;10;A2
13;14;42;86;135;34;523;9;211;11;75;189;169;42;39;18;10;A2
14;23;92;80;132;49;459;9;197;2;52;164;147;36;35;12;9;A2
15;13;85;64;124;20;318;9;191;4;86;195;175;41;39;16;10;A2
16;14;106;67;110;31;115;9;248;6;87;210;170;46;40;17;10;A2
18;32;224;260;314;36;107;13;461;3;72;181;164;41;36;13;9;A3
19;22;162;218;318;25;884;5;590;2;63;175;160;38;35;12;9;A3
20;31;195;208;350;73;109;5;809;11;49;170;154;39;33;12;8;A3
21;15;127;119;197;23;99;7;157;2;107;204;185;47;45;15;11;A3
22;22;160;256;282;12;102;11;690;3;83;190;176;42;44;14;9;A3
23;24;162;231;308;51;1031;17;558;2;82;194;168;42;39;14;10;A3
24;19;64;163;229;16;109;8;145;1;91;190;172;44;42;13;11;A3
